Year - Split 1,zipcode,Avg. Median Price
2017,10014,2473150
2018,10014,2647409.7744926
2019,10014,2804273.3650013
2020,10014,2970431.39351666
2021,10014,3146434.5715045
2011,10013,2330308.33333333
2012,10013,2601450
2013,10013,2780116.66666667
2014,10013,3038425
2015,10013,3104908.33333333
2016,10013,3296133.33333333
2017,10013,3224516.66666667
2018,10013,3181035.28645833
2019,10013,3181035.28645833
2020,10013,3181035.28645833
2021,10013,3181035.28645833
2011,10011,1444483.33333333
2012,10011,1565866.66666667
2013,10011,1799950
2014,10011,2026683.33333333
2015,10011,2059575
2016,10011,2278891.66666667
2017,10011,2373500
2018,10011,2562563.79194805
2019,10011,2742316.02252675
2020,10011,2934677.05703047
2021,10011,3140531.34588248
2011,10003,1358658.33333333
2012,10003,1376516.66666667
2013,10003,1544758.33333333
2014,10003,1735900
2015,10003,1817550
2016,10003,1934525
2017,10003,2016550
2018,10003,2159543.28147658
2019,10003,2294008.78189995
2020,10003,2436846.87247199
2021,10003,2588578.87848116
